method_id,company,role,numerator,denominator,unique_adjustment,status
SEGMENT-AZURE,Microsoft Azure,Hyperscaler,Annualized restated Azure revenue attributable to external AI compute,Time-weighted average active Azure AI IT MW times physical utilization,"Use September 2026 restated Azure perimeter; remove virtual desktop and non-AI consumption; include owned, leased, colocated and purchased capacity; never use quarterly added MW or PPA generation",Partial 2026-09-17; exact Azure revenue established; AI attribution and effective-MW denominator open
SEGMENT-AWS,Amazon AWS,Hyperscaler,Annualized recognized external AWS AI compute revenue,Time-weighted active AI IT MW times physical utilization,Separate Trainium Inferentia and NVIDIA; exclude internal/noncompute revenue and run-rate overlap; PUE only for matched facility-power conversion,Partial 2026-09-19; matched numerator and denominator open
SEGMENT-GCP,Alphabet Google Cloud,Hyperscaler,Annualized recognized external GCP AI compute service revenue,Time-weighted active external GCP AI IT MW times physical utilization,"Exclude Workspace, security/data/non-AI services, internal Search/YouTube/Gemini, TPU system sales and backlog; separate TPU/GPU/third-party capacity cohorts; PUE only for matched facility-power conversion",Partial 2026-09-20; exact Cloud revenue and fleet PUE established; AI attribution and effective-MW denominator open
INTERNAL-META,Meta,Internal compute,Incremental ad or engagement revenue plus external Meta Compute revenue attributable to AI,Average effective utilized Meta AI IT MW,Never use total advertising revenue; keep internal and external cases separate,Configured; inputs open
SEGMENT-OCI,Oracle OCI,Hyperscaler,Recognized AI compute within OCI less hardware pass-through,Time-weighted active AI IT MW and matching utilization,Exclude RPO and prepayment cash; no use of capacity additions as denominator,Partial 2026-09-11; PUE not disclosed
MERCHANT-CRWV,CoreWeave,Neocloud,Annualized compute-only revenue,Weighted-average active IT MW times utilization,Remove storage networking and software; reconstruct average capacity; resolve active-power boundary and PUE,Partial 2026-09-12; canonical output open
MERCHANT-NBIS,Nebius,Neocloud,Annualized external compute-only revenue,Time-weighted effective IT MW,Exclude internal/noncompute; no exit MW; historical PUE not current,Partial; numerator and denominator open
MERCHANT-IREN,IREN,Neocloud,Annualized AI cloud and services revenue only,Average active AI IT MW times physical utilization,Exclude Bitcoin mining revenue and mining power,Q4 FY2026 numerator established; average active IT MW utilization and matched PUE open
CONTRACT-NSCALE,Nscale / Anthropic,Contracted compute,Annual contract value,Contracted IT-load MW,Keep contract rate separate from physical utilization,Active anchor
PROJECT-XAI,xAI / SpaceX,Reference operator,Recognized external compute revenue when reconciled,Average effective Colossus IT MW,Retain capex benchmark; separate Sep 10 monetization guidance until power scope reconciled,Capex anchor plus management guidance
PROJECT-STARGATE,OpenAI / Stargate,Reference project,Recognized or contracted compute revenue,Contracted or active IT-load MW,Separate financing and total campus spend from revenue,Capex anchor only
VENDOR-NVDA,NVIDIA,Silicon vendor,Accelerator networking and systems content,Deployed IT-load GW,Generation-specific content ladder is not operator revenue,Vendor anchor
VENDOR-AVGO,Broadcom,Silicon vendor,Custom accelerator and networking revenue attributable to capacity,Deployed IT-load GW,Preserve custom-only perimeter and architecture mix,Configured; inputs partial
SUPPLIER-BLOOM,Bloom Energy,Power supplier,Attributable capacity service fees,Guaranteed generation MW service-years,Fuel and generation scope; not operator revenue; PUE not applicable,Queued; not reviewed
SOFTWARE-PLTR,Palantir,Software,Attributed incremental AI software revenue,Matching associated average IT MW,No total-company revenue; separate third-party compute,Queued; not reviewed
